
Xe_ID,reachTarget,Thoi_gian_chay,Do_lech,Gia_tri_ham_muc_tieu
22,true,156,44.6154,105.027
16,true,202,99.4845,96.5968
totalcar,timeExecute
2,0
Xe_ID,reachTarget,Thoi_gian_chay,Do_lech,Gia_tri_ham_muc_tieu
28,true,140,12.5692,121.141
34,true,216,46.4138,163.101
22,true,222,81.3783,134.984
16,false,247,67.1343,177.842
totalcar,timeExecute
4,0
Xe_ID,reachTarget,Thoi_gian_chay,Do_lech,Gia_tri_ham_muc_tieu
28,true,140,21.5982,118.433
40,false,138,34.2465,104.234
52,false,152,31.2449,119.345
58,true,164,36.7533,126.317
34,true,182,51.0965,130.88
22,true,188,63.3765,119.789
46,true,204,54.3563,143.456
16,true,247,103.723,140.556
totalcar,timeExecute
8,0
Xe_ID,reachTarget,Thoi_gian_chay,Do_lech,Gia_tri_ham_muc_tieu
16,true,102.112,40.8672,88.8438
22,true,231.347,27.948,167.33
28,true,153.922,49.3018,96.9806
34,false,135.341,41.6647,96.4449
40,true,125.531,39.453, 87.592
46,true,143.531,37.742,95.896
52,true,179.549,35.924,123.958
58,false,230.858,64.0612,164.982
64,true,178.796,31.313,128.759
70,true,188.293,49.945,142.425
76,true,158.341,27.143,117.463
82,true,143.754,25.629,125.352
88,true,167.513,46.4838,124.467
94,true,187.238,21.452,148.815
100,false,102.249,49.364,138.757
106,false,112.24,11.934,122.984
totalcar,timeExecute
16,0
